filename,__SVJCKHsex,__SVJCKHxmrg,__SVJCKHxvar_pre,__SVJCKHxvar,__SVJCKHxvar_nx,__SVJCKHxvar_nx2,__SVJCKHl_pre,__SVJCKHl,__SVJCKHl_nx,__SVJCKHl_nx2,__SVJCKHm_pre,__SVJCKHm,__SVJCKHm_nx,__SVJCKHm_nx2,__SVJCKHs_pre,__SVJCKHs,__SVJCKHs_nx,__SVJCKHs_nx2,__SVJCKHagegp
zwtlenwho.dta,1,164362496,,45,45.5,46,,-.3521000146865845,-.35210001,-.35210001,,2.440999984741211,2.5244,2.6077001,,.0918200016021729,.091530003,.091240004,
zwtlenwho.dta,1,166188752,45,45.5,46,46.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,2.441,2.524399995803833,2.6077001,2.6912999,.091820002,.0915300026535988,.091240004,.090939999,
zwtlenwho.dta,1,168015008,45.5,46,46.5,47,-.35210001,-.3521000146865845,-.35210001,-.35210001,2.5244,2.607700109481812,2.6912999,2.7755001,.091530003,.0912400037050247,.090939999,.09065,
zwtlenwho.dta,1,169841248,46,46.5,47,47.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,2.6077001,2.691299915313721,2.7755001,2.8608999,.091240004,.090939998626709,.09065,.090360001,
zwtlenwho.dta,1,171667504,46.5,47,47.5,48,-.35210001,-.3521000146865845,-.35210001,-.35210001,2.6912999,2.775500059127808,2.8608999,2.948,.090939999,.0906499996781349,.090360001,.090070002,
zwtlenwho.dta,1,173493744,47,47.5,48,48.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,2.7755001,2.860899925231934,2.948,3.0376999,.09065,.0903600007295609,.090070002,.089769997,
zwtlenwho.dta,1,175320000,47.5,48,48.5,49,-.35210001,-.3521000146865845,-.35210001,-.35210001,2.8608999,2.947999954223633,3.0376999,3.1308,.090360001,.0900700017809868,.089769997,.089479998,
zwtlenwho.dta,1,177146256,48,48.5,49,49.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,2.948,3.037699937820435,3.1308,3.2276001,.090070002,.0897699967026711,.089479998,.089189999,
zwtlenwho.dta,1,178972496,48.5,49,49.5,50,-.35210001,-.3521000146865845,-.35210001,-.35210001,3.0376999,3.130800008773804,3.2276001,3.3278,.089769997,.089479997754097,.089189999,.0889,
zwtlenwho.dta,1,180798752,49,49.5,50,50.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,3.1308,3.22760009765625,3.3278,3.4310999,.089479998,.0891899988055229,.0889,.088610001,
zwtlenwho.dta,1,182624992,49.5,50,50.5,51,-.35210001,-.3521000146865845,-.35210001,-.35210001,3.2276001,3.327800035476685,3.4310999,3.5376,.089189999,.0888999998569489,.088610001,.088310003,
zwtlenwho.dta,1,184451248,50,50.5,51,51.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,3.3278,3.431099891662598,3.5376,3.6477001,.0889,.0886100009083748,.088310003,.088009998,
zwtlenwho.dta,1,186277504,50.5,51,51.5,52,-.35210001,-.3521000146865845,-.35210001,-.35210001,3.4310999,3.537600040435791,3.6477001,3.7620001,.088610001,.0883100032806396,.088009998,.087710001,
zwtlenwho.dta,1,188103744,51,51.5,52,52.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,3.5376,3.647700071334839,3.7620001,3.8814001,.088310003,.0880099982023239,.087710001,.087410003,
zwtlenwho.dta,1,189930000,51.5,52,52.5,53,-.35210001,-.3521000146865845,-.35210001,-.35210001,3.6477001,3.76200008392334,3.8814001,4.006,.088009998,.0877100005745888,.087410003,.087109998,
zwtlenwho.dta,1,191756256,52,52.5,53,53.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,3.7620001,3.881400108337402,4.006,4.1353998,.087710001,.0874100029468536,.087109998,.08681,
zwtlenwho.dta,1,193582496,52.5,53,53.5,54,-.35210001,-.3521000146865845,-.35210001,-.35210001,3.8814001,4.00600004196167,4.1353998,4.2693,.087410003,.0871099978685379,.08681,.086510003,
zwtlenwho.dta,1,195408752,53,53.5,54,54.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,4.006,4.13539981842041,4.2693,4.4066,.087109998,.0868100002408028,.086510003,.086209998,
zwtlenwho.dta,1,197235008,53.5,54,54.5,55,-.35210001,-.3521000146865845,-.35210001,-.35210001,4.1353998,4.269299983978271,4.4066,4.5467,.08681,.0865100026130676,.086209998,.085919999,
zwtlenwho.dta,1,199061248,54,54.5,55,55.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,4.2693,4.406599998474121,4.5467,4.6891999,.086510003,.0862099975347519,.085919999,.08563,
zwtlenwho.dta,1,200887504,54.5,55,55.5,56,-.35210001,-.3521000146865845,-.35210001,-.35210001,4.4066,4.546700000762939,4.6891999,4.8337998,.086209998,.0859199985861778,.08563,.085349999,
zwtlenwho.dta,1,202713744,55,55.5,56,56.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,4.5467,4.689199924468994,4.8337998,4.9796,.085919999,.0856299996376038,.085349999,.085069999,
zwtlenwho.dta,1,204540000,55.5,56,56.5,57,-.35210001,-.3521000146865845,-.35210001,-.35210001,4.6891999,4.833799839019775,4.9796,5.1258998,.08563,.0853499993681908,.085069999,.084810004,
zwtlenwho.dta,1,206366256,56,56.5,57,57.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,4.8337998,4.979599952697754,5.1258998,5.2721,.085349999,.0850699990987778,.084810004,.084550001,
zwtlenwho.dta,1,208192496,56.5,57,57.5,58,-.35210001,-.3521000146865845,-.35210001,-.35210001,4.9796,5.125899791717529,5.2721,5.4180002,.085069999,.0848100036382675,.084550001,.084299996,
zwtlenwho.dta,1,210018752,57,57.5,58,58.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,5.1258998,5.27209997177124,5.4180002,5.5632,.084810004,.0845500007271767,.084299996,.084059998,
zwtlenwho.dta,1,211844992,57.5,58,58.5,59,-.35210001,-.3521000146865845,-.35210001,-.35210001,5.2721,5.418000221252441,5.5632,5.7073998,.084550001,.0842999964952469,.084059998,.083829999,
zwtlenwho.dta,1,213671248,58,58.5,59,59.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,5.4180002,5.563199996948242,5.7073998,5.8501,.084299996,.0840599983930588,.083829999,.083619997,
zwtlenwho.dta,1,215497504,58.5,59,59.5,60,-.35210001,-.3521000146865845,-.35210001,-.35210001,5.5632,5.707399845123291,5.8501,5.9906998,.084059998,.0838299989700317,.083619997,.083420001,
zwtlenwho.dta,1,217323744,59,59.5,60,60.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,5.7073998,5.850100040435791,5.9906998,6.1283998,.083829999,.0836199969053268,.083420001,.083240002,
zwtlenwho.dta,1,219150000,59.5,60,60.5,61,-.35210001,-.3521000146865845,-.35210001,-.35210001,5.8501,5.990699768066406,6.1283998,6.2631998,.083619997,.0834200009703636,.083240002,.083080001,
zwtlenwho.dta,1,220976256,60,60.5,61,61.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,5.9906998,6.128399848937988,6.2631998,6.3954,.083420001,.0832400023937225,.083080001,.08292,
zwtlenwho.dta,1,222802496,60.5,61,61.5,62,-.35210001,-.3521000146865845,-.35210001,-.35210001,6.1283998,6.263199806213379,6.3954,6.5251002,.083240002,.0830800011754036,.08292,.082790002,
zwtlenwho.dta,1,224628752,61,61.5,62,62.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,6.2631998,6.395400047302246,6.5251002,6.6526999,.083080001,.0829199999570847,.082790002,.082659997,
zwtlenwho.dta,1,226455008,61.5,62,62.5,63,-.35210001,-.3521000146865845,-.35210001,-.35210001,6.3954,6.525100231170654,6.6526999,6.7786002,.08292,.0827900022268295,.082659997,.082549997,
zwtlenwho.dta,1,228281248,62,62.5,63,63.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,6.5251002,6.652699947357178,6.7786002,6.9028001,.082790002,.0826599970459938,.082549997,.082450002,
zwtlenwho.dta,1,230107504,62.5,63,63.5,64,-.35210001,-.3521000146865845,-.35210001,-.35210001,6.6526999,6.778600215911865,6.9028001,7.0254998,.082659997,.0825499966740608,.082450002,.082359999,
zwtlenwho.dta,1,231933744,63,63.5,64,64.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,6.7786002,6.9028000831604,7.0254998,7.1466999,.082549997,.0824500024318695,.082359999,.082290001,
zwtlenwho.dta,1,233760000,63.5,64,64.5,65,-.35210001,-.3521000146865845,-.35210001,-.35210001,6.9028001,7.025499820709229,7.1466999,7.2666001,.082450002,.0823599994182587,.082290001,.082230002,
zwtlenwho.dta,1,235586256,64,64.5,65,65.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,7.0254998,7.146699905395508,7.2666001,7.3853998,.082359999,.0822900012135506,.082230002,.082180001,
zwtlenwho.dta,1,237412496,64.5,65,65.5,66,-.35210001,-.3521000146865845,-.35210001,-.35210001,7.1466999,7.266600131988525,7.3853998,7.5033998,.082290001,.0822300016880035,.082180001,.082149997,
zwtlenwho.dta,1,239238752,65,65.5,66,66.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,7.2666001,7.38539981842041,7.5033998,7.6206002,.082230002,.0821800008416176,.082149997,.08213,
zwtlenwho.dta,1,241064992,65.5,66,66.5,67,-.35210001,-.3521000146865845,-.35210001,-.35210001,7.3853998,7.503399848937988,7.6206002,7.737,.082180001,.0821499973535538,.08213,.082120001,
zwtlenwho.dta,1,242891248,66,66.5,67,67.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,7.5033998,7.62060022354126,7.737,7.8526001,.082149997,.0821299999952316,.082120001,.082120001,
zwtlenwho.dta,1,244717504,66.5,67,67.5,68,-.35210001,-.3521000146865845,-.35210001,-.35210001,7.6206002,7.736999988555908,7.8526001,7.9674001,.08213,.0821200013160706,.082120001,.082139999,
zwtlenwho.dta,1,246543744,67,67.5,68,68.5,-.35210001,-.3521000146865845,-.35210001,-.35210001,7.737,7.85260009765625,7.9674001,8.0816002,.082120001,.0821200013160706,.082139999,.082160003,
