__IOTFsex,__IOTFage,__IOTF16_pre,__IOTF16,__IOTF16_nx,__IOTF16_nx2,__IOTF17_pre,__IOTF17,__IOTF17_nx,__IOTF17_nx2,__IOTF18_5_pre,__IOTF18_5,__IOTF18_5_nx,__IOTF18_5_nx2,__IOTF25_pre,__IOTF25,__IOTF25_nx,__IOTF25_nx2,__IOTF30_pre,__IOTF30,__IOTF30_nx,__IOTF30_nx2
1,2,,13.37,13.22,13.09,,14.12,13.94,13.79,,15.14,14.92,14.74,,18.41,18.13,17.89,,20.09,19.8,19.57
1,2.5,13.37,13.22,13.09,12.97,14.12,13.94,13.79,13.64,15.14,14.92,14.74,14.57,18.41,18.13,17.89,17.69,20.09,19.8,19.57,19.39
1,3,13.22,13.09,12.97,12.86,13.94,13.79,13.64,13.52,14.92,14.74,14.57,14.43,18.13,17.89,17.69,17.55,19.8,19.57,19.39,19.29
1,3.5,13.09,12.97,12.86,12.76,13.79,13.64,13.52,13.41,14.74,14.57,14.43,14.31,17.89,17.69,17.55,17.47,19.57,19.39,19.29,19.26
1,4,12.97,12.86,12.76,12.66,13.64,13.52,13.41,13.31,14.57,14.43,14.31,14.21,17.69,17.55,17.47,17.42,19.39,19.29,19.26,19.3
1,4.5,12.86,12.76,12.66,12.58,13.52,13.41,13.31,13.22,14.43,14.31,14.21,14.13,17.55,17.47,17.42,17.45,19.29,19.26,19.3,19.47
1,5,12.76,12.66,12.58,12.5,13.41,13.31,13.22,13.15,14.31,14.21,14.13,14.07,17.47,17.42,17.45,17.55,19.26,19.3,19.47,19.78
1,5.5,12.66,12.58,12.5,12.45,13.31,13.22,13.15,13.1,14.21,14.13,14.07,14.04,17.42,17.45,17.55,17.71,19.3,19.47,19.78,20.23
1,6,12.58,12.5,12.45,12.42,13.22,13.15,13.1,13.08,14.13,14.07,14.04,14.04,17.45,17.55,17.71,17.92,19.47,19.78,20.23,20.63
1,6.5,12.5,12.45,12.42,12.41,13.15,13.1,13.08,13.09,14.07,14.04,14.04,14.08,17.55,17.71,17.92,18.16,19.78,20.23,20.63,21.09
1,7,12.45,12.42,12.41,12.42,13.1,13.08,13.09,13.11,14.04,14.04,14.08,14.15,17.71,17.92,18.16,18.44,20.23,20.63,21.09,21.6
1,7.5,12.42,12.41,12.42,12.45,13.08,13.09,13.11,13.17,14.04,14.08,14.15,14.24,17.92,18.16,18.44,18.76,20.63,21.09,21.6,22.17
